method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.6369529579969821,0.9132185039724086,0.9142300194931774,133,20.0,1,7,0.5,0.0001,133,19.94736842105263,20,28539,214.57894736842104
grid,1,0.6394904589978978,0.9132185039724086,0.9142300194931774,133,20.0,1,7,0.5,1e-05,133,19.94736842105263,20,28559,214.72932330827064
grid,1,0.638364416998229,0.9132185039724086,0.9142300194931774,133,20.0,1,7,0.5,0.0,133,19.94736842105263,20,29981,225.42105263157896
grid,1,0.0975775830011116,0.9131383179380556,0.9142300194931774,50,16.0,1,7,sqrt,1e-05,50,16.0,16,15190,303.8
grid,1,0.0969367079960648,0.9131383179380556,0.9142300194931774,50,16.0,1,7,sqrt,0.0,50,16.0,16,15690,313.8
grid,1,0.1925495000032242,0.9131140934883968,0.9142300194931774,133,,1,7,log2,0.0001,133,22.23308270676692,30,54179,407.3609022556391
grid,1,0.1965309579973109,0.9131140934883968,0.9142300194931774,133,,1,7,log2,1e-05,133,22.25563909774436,30,54597,410.50375939849624
grid,1,0.1868622500041965,0.9131140934883968,0.9142300194931774,133,,1,7,log2,0.0,133,22.30827067669173,30,56391,423.9924812030075
grid,1,0.6434668750007404,0.913065135022791,0.9142300194931774,133,20.0,1,10,0.5,0.0001,133,20.0,20,26027,195.69172932330827
grid,1,0.6322525829891674,0.913065135022791,0.9142300194931774,133,20.0,1,10,0.5,1e-05,133,20.0,20,26055,195.90225563909777
grid,1,0.6439506660099141,0.913065135022791,0.9142300194931774,133,20.0,1,10,0.5,0.0,133,20.0,20,27315,205.37593984962405
grid,1,0.2205144580075284,0.9127170665519174,0.9142300194931774,133,20.0,1,7,sqrt,0.0001,133,19.81203007518797,20,46115,346.7293233082707
grid,1,0.0953166660037823,0.9126895942700358,0.9142300194931774,50,,1,5,sqrt,0.001,50,21.62,32,14574,291.48
grid,1,0.2099367500049993,0.912628927261732,0.9142300194931774,133,20.0,1,7,sqrt,1e-05,133,19.81203007518797,20,46353,348.5187969924812
grid,1,0.2163462919997982,0.912628927261732,0.9142300194931774,133,20.0,1,7,sqrt,0.0,133,19.81203007518797,20,47941,360.4586466165414
grid,1,0.0809955419972539,0.9122491331157222,0.912280701754386,50,12.0,1,5,log2,0.0001,50,12.0,12,14638,292.76
grid,1,0.0834134580072714,0.9122491331157222,0.912280701754386,50,12.0,1,5,log2,1e-05,50,12.0,12,14696,293.92
grid,1,0.085389291998581,0.9122491331157222,0.912280701754386,50,12.0,1,5,log2,0.0,50,12.0,12,15166,303.32
grid,1,0.0955859169916948,0.9117010853405066,0.912280701754386,50,,1,10,sqrt,0.0001,50,23.04,30,15336,306.72
