method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
successive,2,0.22053445799974725,0.9291953115952188,0.9298245614035088,133,,1,2,sqrt,1e-05,133,25.593984962406015,40,73329,551.3458646616541
successive,2,0.22078774998954032,0.9291953115952188,0.9298245614035088,133,,1,2,sqrt,0.0001,133,25.593984962406015,40,73329,551.3458646616541
successive,2,0.21419354200770613,0.9291953115952188,0.9298245614035088,133,,1,2,sqrt,0.0,133,25.67669172932331,40,78093,587.1654135338346
successive,2,0.21827020798809826,0.9289839109973446,0.9298245614035088,133,20.0,1,2,sqrt,0.0001,133,19.954887218045112,20,68505,515.0751879699249
successive,2,0.24118916600127704,0.9289839109973446,0.9298245614035088,133,20.0,1,2,sqrt,1e-05,133,19.954887218045112,20,68509,515.1052631578947
successive,2,0.220244249998359,0.9289839109973446,0.9298245614035088,133,20.0,1,2,sqrt,0.0,133,19.954887218045112,20,73041,549.1804511278195
successive,3,0.3558645410084864,0.9272498049174056,0.9278752436647173,217,20.0,1,2,sqrt,0.0001,217,19.953917050691246,20,110985,511.4516129032258
successive,3,0.3465143329958664,0.9272498049174056,0.9278752436647173,217,20.0,1,2,sqrt,1e-05,217,19.953917050691246,20,110993,511.4884792626728
successive,3,0.35243058399646543,0.9272498049174056,0.9278752436647173,217,20.0,1,2,sqrt,0.0,217,19.953917050691246,20,118217,544.778801843318
successive,4,0.4639785000035772,0.9269691124231233,0.9278752436647173,300,,1,5,sqrt,0.0001,300,24.24,37,123314,411.0466666666667
successive,4,0.4722642499982612,0.9269691124231233,0.9278752436647173,300,,1,5,sqrt,1e-05,300,24.25,37,123534,411.78
successive,4,0.46279341699846555,0.9269691124231233,0.9278752436647173,300,,1,5,sqrt,0.0,300,24.286666666666665,37,128442,428.14
successive,1,0.09771366600762121,0.9269234522554731,0.9278752436647173,50,,1,2,sqrt,1e-05,50,25.32,32,27020,540.4
successive,1,0.09383779199561104,0.9269234522554731,0.9278752436647173,50,,1,2,sqrt,0.0001,50,25.32,32,27020,540.4
successive,1,0.09476304201234598,0.9269234522554731,0.9278752436647173,50,,1,2,sqrt,0.0,50,25.38,32,28772,575.44
successive,1,0.09303887499845587,0.9253500059848675,0.9259259259259259,50,12.0,1,2,sqrt,0.0001,50,12.0,12,15928,318.56
successive,1,0.09424845900502987,0.9253500059848675,0.9259259259259259,50,12.0,1,2,sqrt,1e-05,50,12.0,12,15940,318.8
successive,1,0.09250574999896344,0.9253500059848675,0.9259259259259259,50,12.0,1,2,sqrt,0.0,50,12.0,12,16788,335.76
successive,4,0.4704732919926755,0.9251691808212836,0.9259259259259259,300,20.0,1,2,sqrt,0.0001,300,19.956666666666667,20,152978,509.9266666666667
successive,4,0.4817701669962844,0.9251691808212836,0.9259259259259259,300,20.0,1,2,sqrt,1e-05,300,19.956666666666667,20,152988,509.96
successive,4,0.46716008298972156,0.9251691808212836,0.9259259259259259,300,20.0,1,2,sqrt,0.0,300,19.956666666666667,20,162888,542.96
successive,3,0.3639334589970531,0.9251687319799987,0.9259259259259259,217,,1,2,sqrt,1e-05,217,25.53917050691244,40,119145,549.0552995391705
successive,3,0.36232795799151063,0.9251687319799987,0.9259259259259259,217,,1,2,sqrt,0.0001,217,25.53917050691244,40,119145,549.0552995391705
successive,3,0.34421033300168347,0.9251687319799987,0.9259259259259259,217,,1,2,sqrt,0.0,217,25.62672811059908,40,126807,584.3640552995391
successive,2,0.21495762499398552,0.9250629011163175,0.9259259259259259,133,,1,5,sqrt,0.0001,133,24.030075187969924,37,54815,412.14285714285717
successive,2,0.2182200829993235,0.9250629011163175,0.9259259259259259,133,,1,5,sqrt,1e-05,133,24.05263157894737,37,54913,412.8796992481203
successive,2,0.2313322919944767,0.9250629011163175,0.9259259259259259,133,,1,5,sqrt,0.0,133,24.06015037593985,37,57101,429.3308270676692
successive,3,0.3481978330091806,0.9232900053550775,0.9239766081871345,217,16.0,1,2,sqrt,0.0001,217,16.0,16,96471,444.5668202764977
successive,3,0.3424036670039641,0.9232900053550775,0.9239766081871345,217,16.0,1,2,sqrt,1e-05,217,16.0,16,96537,444.8709677419355
successive,3,0.34198404199560173,0.9232900053550775,0.9239766081871345,217,16.0,1,2,sqrt,0.0,217,16.0,16,102441,472.0783410138249
successive,4,0.4708851670002332,0.9232900053550775,0.9239766081871345,300,16.0,1,2,sqrt,0.0001,300,16.0,16,132478,441.5933333333333
successive,4,0.4627790829981677,0.9232900053550775,0.9239766081871345,300,16.0,1,2,sqrt,1e-05,300,16.0,16,132552,441.84
successive,4,0.46362400001089554,0.9232900053550775,0.9239766081871345,300,16.0,1,2,sqrt,0.0,300,16.0,16,140762,469.20666666666665
successive,4,0.4858284160000039,0.92298848959609,0.9239766081871345,300,20.0,1,5,sqrt,0.0001,300,19.89666666666667,20,117920,393.06666666666666
successive,4,0.4632462919980753,0.92298848959609,0.9239766081871345,300,20.0,1,5,sqrt,1e-05,300,19.9,20,118126,393.75333333333333
successive,4,0.4664646669989452,0.92298848959609,0.9239766081871345,300,20.0,1,5,sqrt,0.0,300,19.903333333333332,20,122930,409.76666666666665
successive,4,1.485595791004016,0.9225478377396537,0.9239766081871345,300,,1,2,0.5,1e-05,300,31.343333333333334,42,109590,365.3
successive,4,1.4627560000080848,0.9225478377396537,0.9239766081871345,300,,1,2,0.5,0.0001,300,31.343333333333334,42,109590,365.3
successive,4,1.4571012499945937,0.9225478377396537,0.9239766081871345,300,,1,2,0.5,0.0,300,31.413333333333334,43,117320,391.06666666666666
successive,4,0.48218433299916796,0.9212456847999811,0.9220272904483431,300,,1,2,sqrt,1e-05,300,25.54,40,164414,548.0466666666666
successive,4,0.48193254199577495,0.9212456847999811,0.9220272904483431,300,,1,2,sqrt,0.0001,300,25.54,40,164414,548.0466666666666
successive,4,0.4655324159975862,0.9212456847999811,0.9220272904483431,300,,1,2,sqrt,0.0,300,25.626666666666665,40,175062,583.54
successive,1,0.08188004199473653,0.9211839163466892,0.9220272904483431,50,20.0,1,2,log2,0.0001,50,19.94,20,30258,605.16
successive,1,0.09195533300226089,0.9211839163466892,0.9220272904483431,50,20.0,1,2,log2,1e-05,50,19.94,20,30268,605.36
successive,1,0.07903500000247732,0.9211839163466892,0.9220272904483431,50,20.0,1,2,log2,0.0,50,19.94,20,32094,641.88
successive,2,0.21384495799429715,0.9210759332410693,0.9220272904483431,133,16.0,1,5,sqrt,0.0001,133,16.0,16,46583,350.2481203007519
successive,2,0.21303258299303707,0.9210759332410693,0.9220272904483431,133,16.0,1,5,sqrt,1e-05,133,16.0,16,46665,350.8646616541353
successive,2,0.2034176250017481,0.9210759332410693,0.9220272904483431,133,16.0,1,5,sqrt,0.0,133,16.0,16,48545,365.0
successive,4,0.4075108340039151,0.920948019784637,0.9220272904483431,300,,1,2,log2,1e-05,300,24.5,33,192240,640.8
successive,4,0.40738504100590944,0.920948019784637,0.9220272904483431,300,,1,2,log2,0.0001,300,24.5,33,192240,640.8
successive,4,0.39572716600378044,0.920948019784637,0.9220272904483431,300,,1,2,log2,0.0,300,24.56,33,204334,681.1133333333333
successive,3,1.070960750002996,0.9207815585952549,0.9220272904483431,217,,1,2,0.5,1e-05,217,31.28110599078341,41,79349,365.66359447004606
successive,3,1.0669843330106232,0.9207815585952549,0.9220272904483431,217,,1,2,0.5,0.0001,217,31.28110599078341,41,79349,365.66359447004606
successive,3,1.0884023329999764,0.9207815585952549,0.9220272904483431,217,,1,2,0.5,0.0,217,31.341013824884794,41,84921,391.3410138248848
successive,4,1.4426197920111008,0.9206560820368231,0.9220272904483431,300,,1,5,0.5,0.0001,300,29.983333333333334,40,83390,277.96666666666664
successive,4,1.4473061250027968,0.9206560820368231,0.9220272904483431,300,,1,5,0.5,1e-05,300,29.996666666666666,40,83412,278.04
successive,4,1.4279812080058036,0.9206560820368231,0.9220272904483431,300,,1,5,0.5,0.0,300,30.05,40,87490,291.6333333333333
